Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortVol-Exempt
MSFT,20200601,3103004,66690,7692896,"B,Q,N",3036314
AAPL,20200601,3354350,50241,8481026,"B,Q,N",3304109
AMZN,20200601,369115,7652,1262284,"B,Q,N",361463
FB,20200601,4435030,60907,8557320,"B,Q,N",4374123
GOOGL,20200601,162271,1970,306340,"B,Q,N",160301
GOOG,20200601,244811,2568,422806,"B,Q,N",242243
JNJ,20200601,455998,21741,1695830,"B,Q,N",434257
BRK.B,20200601,875674,10264,2152396,"B,Q,N",865410
JPM,20200601,3501214,35619,5953128,"B,Q,N",3465595
V,20200601,715428,7240,1444812,"B,Q,N",708188
PG,20200601,331377,13456,1306992,"B,Q,N",317921
UNH,20200601,258312,7673,650891,"B,Q,N",250639
INTC,20200601,2234962,36570,4477773,"B,Q,N",2198392
HD,20200601,536443,10179,1170933,"B,Q,N",526264
MA,20200601,314845,4911,755563,"B,Q,N",309934
VZ,20200601,2042115,78588,6964166,"B,Q,N",1963527
T,20200601,5005452,78781,8124201,"B,Q,N",4926671
DIS,20200601,2348405,77873,4102273,"B,Q,N",2270532
BAC,20200601,7603463,71274,19142990,"B,Q,N",7532189
NVDA,20200601,2961549,24230,4780450,"B,Q,N",2937319
XOM,20200601,2609490,32400,6598688,"B,Q,N",2577090
MRK,20200601,604954,14568,1982162,"B,Q,N",590386
PFE,20200601,17128599,179181,32207321,"B,Q,N",16949418
CSCO,20200601,3214859,28793,6419919,"B,Q,N",3186066
CMCSA,20200601,1847943,18671,3658134,"B,Q,N",1829272
ADBE,20200601,220239,5595,469505,"B,Q,N",214644
KO,20200601,2497136,38500,3994123,"B,Q,N",2458636
PEP,20200601,409818,26915,907761,"B,Q,N",382903
CVX,20200601,1189454,16625,2399491,"B,Q,N",1172829
NFLX,20200601,969960,6520,1598224,"B,Q,N",963440
PYPL,20200601,745583,6068,1520059,"B,Q,N",739515
WMT,20200601,720623,13771,2644676,"B,Q,N",706852
ABBV,20200601,1027442,24516,2729623,"B,Q,N",1002926
ABT,20200601,1247230,14308,1944025,"B,Q,N",1232922
CRM,20200601,888718,10575,1786873,"B,Q,N",878143
MCD,20200601,418200,10992,703665,"B,Q,N",407208
BMY,20200601,899019,35306,3286484,"B,Q,N",863713
TMO,20200601,116329,2675,207977,"B,Q,N",113654
COST,20200601,286594,4210,762453,"B,Q,N",282384
AMGN,20200601,230245,6802,549602,"B,Q,N",223443
MDT,20200601,412479,14655,1125509,"B,Q,N",397824
ACN,20200601,216713,7564,337324,"B,Q,N",209149
LLY,20200601,372950,17604,1629094,"B,Q,N",355346
NKE,20200601,648133,8543,1235893,"B,Q,N",639590
NEE,20200601,295592,12557,458997,"B,Q,N",283035
AVGO,20200601,224313,9474,423704,"B,Q,N",214839
UNP,20200601,332275,2404,684278,"B,Q,N",329871
C,20200601,4392470,52674,8950786,"B,Q,N",4339796
TXN,20200601,260084,5318,439000,"B,Q,N",254766
PM,20200601,391933,14219,846011,"B,Q,N",377714
WFC,20200601,4606006,23498,14549671,"B,Q,N",4582508
AMT,20200601,277880,11217,692305,"B,Q,N",266663
ORCL,20200601,1123130,43093,1973773,"B,Q,N",1080037
LIN,20200601,261815,965,481563,"Q,N",260850
IBM,20200601,310576,15348,762992,"B,Q,N",295228
HON,20200601,279662,6484,602121,"B,Q,N",273178
DHR,20200601,182024,5592,445634,"B,Q,N",176432
LMT,20200601,167468,2894,353686,"B,Q,N",164574
RTX,20200601,1521222,13313,3689024,"B,Q,N",1507909
LOW,20200601,506662,4351,1295549,"B,Q,N",502311
BA,20200601,8505316,116462,17089295,"B,Q,N",8388854
QCOM,20200601,1348990,5378,2355228,"B,Q,N",1343612
GILD,20200601,1967352,78652,5814093,"B,Q,N",1888700
MMM,20200601,264588,1287,515363,"B,Q,N",263301
SBUX,20200601,1185793,35793,1935096,"B,Q,N",1150000
CVS,20200601,1098310,21711,1965242,"B,Q,N",1076599
CHTR,20200601,115714,2173,178566,"B,Q,N",113541
FIS,20200601,109276,5947,407480,"B,Q,N",103329
BLK,20200601,88258,267,164690,"B,Q,N",87991
SPGI,20200601,95829,1138,177278,"B,Q,N",94691
MO,20200601,1043386,18731,2618205,"B,Q,N",1024655
CI,20200601,108972,3727,307285,"B,Q,N",105245
MDLZ,20200601,401804,12698,973861,"B,Q,N",389106
INTU,20200601,168602,1205,262380,"B,Q,N",167397
BKNG,20200601,60677,362,144130,"B,Q,N",60315
UPS,20200601,395547,2280,797808,"B,Q,N",393267
BDX,20200601,115826,2848,370040,"B,Q,N",112978
ANTM,20200601,82200,3291,222454,"B,Q,N",78909
AXP,20200601,791432,7879,1485786,"B,Q,N",783553
CAT,20200601,469381,1090,715002,"B,Q,N",468291
NOW,20200601,211889,1714,378905,"B,Q,N",210175
VRTX,20200601,200096,8968,464353,"B,Q,N",191128
D,20200601,741192,60384,1266031,"B,Q,N",680808
CCI,20200601,220254,11126,733525,"B,Q,N",209128
PLD,20200601,213978,1623,454733,"B,Q,N",212355
GS,20200601,322197,4642,610901,"B,Q,N",317555
GE,20200601,10491498,83490,32382314,"B,Q,N",10408008
ZTS,20200601,210900,4925,361068,"B,Q,N",205975
TJX,20200601,707232,22182,1981963,"B,Q,N",685050
CME,20200601,117692,5035,255344,"B,Q,N",112657
ISRG,20200601,63771,400,122023,"B,Q,N",63371
ADP,20200601,165552,5735,697846,"B,Q,N",159817
DUK,20200601,271216,13437,634010,"B,Q,N",257779
SYK,20200601,150525,4952,275109,"B,Q,N",145573
AMD,20200601,13212591,183032,20737875,"B,Q,N",13029559
CB,20200601,202420,10414,800525,"B,Q,N",192006
SO,20200601,487702,5165,929224,"B,Q,N",482537
TGT,20200601,1092012,23613,2249357,"B,Q,N",1068399
CL,20200601,288906,11490,531137,"B,Q,N",277416
FISV,20200601,278919,13311,821158,"B,Q,N",265608
REGN,20200601,215806,4917,428166,"B,Q,N",210889
EQIX,20200601,47597,707,103259,"B,Q,N",46890
CSX,20200601,318909,1424,700924,"B,Q,N",317485
USB,20200601,683715,13791,1735904,"B,Q,N",669924
MU,20200601,6009306,78247,10500443,"B,Q,N",5931059
MS,20200601,825427,5552,1777632,"B,Q,N",819875
TFC,20200601,626711,2905,1477034,"B,Q,N",623806
ECL,20200601,3475731,87261,4264388,"B,Q,N",3388470
GPN,20200601,130828,2573,531168,"B,Q,N",128255
MMC,20200601,175322,6826,344338,"B,Q,N",168496
BIIB,20200601,107711,3613,188259,"B,Q,N",104098
