DateBeforeChange,DateAfterChange,Change,Ticker,Name,Sector,Exchange
20200520,20200521,1,WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,New York Stock Exchange Inc.
20200508,20200511,1,DPZ,DOMINOS PIZZA INC,Consumer Discretionary,New York Stock Exchange Inc.
20200508,20200511,1,DXCM,DEXCOM INC,Health Care,NASDAQ
20200403,20200406,1,RTX,RAYTHEON TECHNOLOGIES CORP,Industrials,New York Stock Exchange Inc.
20200402,20200403,1,CARR,CARRIER GLOBAL CORP,Financials,New York Stock Exchange Inc.
20200402,20200403,1,OTIS,OTIS WORLDWIDE CORP,Industrials,New York Stock Exchange Inc.
20200402,20200403,1,RTX US,RAYTHEON TECHNOLOGIES CORP,Industrials,New York Stock Exchange Inc.
20200401,20200402,1,AON,Aon plc,Financials,New York Stock Exchange Inc.
20200401,20200402,1,ARNC,ARCONIC CORP,Materials,New York Stock Exchange Inc.
20200401,20200402,1,HWM,HOWMET AEROSPACE INC,Industrials,New York Stock Exchange Inc.
20200331,20200401,1,ARNC WI,ARCONIC CORP,Materials,New York Stock Exchange Inc.
20200331,20200401,1,HWM WI,HOWMET AEROSPACE,Industrials,New York Stock Exchange Inc.
20200228,20200302,1,IR,INGERSOLL RAND INC,Other,New York Stock Exchange Inc.
20200227,20200228,1,TT,TRANE TECHNOLOGIES PLC,Industrials,New York Stock Exchange Inc.
20200124,20200127,1,PAYC,PAYCOM SOFTWARE INC,Information Technology,New York Stock Exchange Inc.
20191219,20191220,1,LYV,LIVE NATION ENTERTAINMENT INC,Communication,New York Stock Exchange Inc.
20191219,20191220,1,STE,STERIS,Health Care,New York Stock Exchange Inc.
20191219,20191220,1,ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,NASDAQ
20191209,20191210,1,J,JACOBS ENGINEERING GROUP INC,Industrials,New York Stock Exchange Inc.
20191206,20191209,1,TFC,TRUIST FINANCIAL CORP,Financials,New York Stock Exchange Inc.
20191205,20191206,1,ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,NASDAQ
20191204,20191205,1,VIAC,VIACOMCBS INC CLASS B,Communication,NASDAQ
20191203,20191204,1,WRB,WR BERKLEY CORP,Financials,New York Stock Exchange Inc.
20191125,20191126,1,DISHR,DISH NETWORK CORP CLASS A,Communication,NASDAQ
20191119,20191120,1,NOW,SERVICENOW INC,Information Technology,New York Stock Exchange Inc.
20191104,20191105,1,NLOK,NORTONLIFELOCK INC,Information Technology,NASDAQ
20191104,20191105,1,PEAK,HEALTHPEAK PROPERTIES INC,Real Estate,New York Stock Exchange Inc.
20191017,20191018,1,BKR,BAKER HUGHES COMPANY,Energy,New York Stock Exchange Inc.
20190930,20191007,1,LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,New York Stock Exchange Inc.
20190924,20190925,1,NVR,NVR INC,Consumer Discretionary,New York Stock Exchange Inc.
20190919,20190920,1,CDW,CDW CORP,Information Technology,NASDAQ
20190808,20190809,1,GL,GLOBE LIFE INC,Financials,New York Stock Exchange Inc.
20190807,20190808,1,IEX,IDEX CORP,Industrials,New York Stock Exchange Inc.
20190807,20190808,1,LDOS,LEIDOS HOLDINGS INC,Information Technology,New York Stock Exchange Inc.
20190711,20190712,1,TMUS,T MOBILE US INC,Communication,NASDAQ
